,dT,Res ra,Res dec,Res az,Res alt,Base Ra,Base Dec,Base Az,Base Alt,Snakes,UTC
396,56,5590.332991056243,12121.294917923675,-17399.914169715918,-1921.7417820335925,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:00:22
397,77,-0.003337200109854166,0.000730080111566167,129.31772755110842,709.8220040136937,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:00:43
398,86,-0.34032962662422506,0.22641625010066946,144.23834847324315,791.5640941208466,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:00:52
399,95,-0.08663038854592742,0.28933632245298213,159.38508932553077,872.8909508415597,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:01:01
400,116,-16867.98148572848,7135.018380449163,-7743.823818474755,12638.44032058432,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:01:22
401,125,-16868.022223349908,7134.836732730727,-7721.7534405622355,12723.15559000221,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:01:31
402,134,-16868.300816542866,7135.273649981344,-7700.180246498292,12809.280550365682,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:01:40
403,155,0.6014233342511943,0.7088194620564536,263.66157436623325,1422.5343241345684,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:02:01
404,164,0.5475169155943149,0.5658962237816922,279.69602394780395,1504.005018251573,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:02:10
405,173,0.1808712492675113,0.32840711452024607,295.9413879569297,1585.476906298345,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:02:19
406,194,-5816.50364363602,12076.01429773065,-16347.222444182671,6943.726457327185,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:02:40
407,203,-5816.596419243274,12076.062897733622,-16334.249908613754,7031.183112365804,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:02:49
408,211,-5816.493934430241,12076.081704850254,-16321.156774520261,7118.656924863211,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:02:57
409,232,0.4643101174451658,0.7240499861239869,403.92833275004705,2131.905792826905,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:03:18
410,241,0.3477133093838347,0.815145109555715,420.2595159220209,2213.336822548723,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:03:27
411,250,-0.07924673095658363,1.010134802274365,436.5323778111133,2294.850742215792,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:03:36
412,271,-12141.183163334927,10143.352372251988,-12597.180865731969,11581.630374114224,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:03:57
413,280,-12141.786678210428,10143.284782633427,-12578.457080705652,11668.194604667122,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:04:06
414,289,-12141.165832912542,10143.594926931433,-12560.378593223095,11754.064510091044,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:04:15
415,310,0.46944731816438434,0.7261178260137058,549.6559873123033,2840.419961466392,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:04:36
416,319,0.3782845280284164,1.0024743487292653,566.5010434401893,2922.487802402864,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:04:45
417,327,0.16396210407947365,1.0518706750673346,583.6247401817104,3003.9536671892565,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:04:53
418,349,-20461.32652294864,386.71729738607326,3701.042921136923,15628.35540579332,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:05:15
419,357,-20461.018712168767,386.1537638139339,3731.479362653806,15707.933042297756,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:05:23
420,366,-20461.698827825923,386.4263911208269,3761.019260797798,15788.393161057298,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:05:32
421,388,0.15176169886217394,1.0104796754347944,701.8770612812887,3554.540435642937,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:05:54
422,397,0.19098371626569133,1.1651727543124935,719.4249560461799,3635.965634748817,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:06:03
423,405,-0.22833354903468717,1.0324965667592778,737.4179034100052,3717.1562020356732,278.3383523505218,-52.04087424941803,135.02938807294817,45.06610095258623,13,2023-03-17 08:06:11
424,0,0.0,0.0,0.0,0.0,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:06:45
425,9,-0.035499604382494,-0.07651332007014844,-9.868216729273627,81.57391080708578,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:06:54
426,17,0.10304281204298604,0.20122992038125176,-20.1134536974223,163.04380767917053,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:07:02
427,38,13195.365319122244,-9650.804616436562,12536.877270812374,-6455.8164329553365,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:07:23
428,47,13195.203383892704,-9650.626364958242,12526.13821753688,-6379.476131492808,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:07:32
429,56,13194.535072584382,-9650.363997325112,12515.258229436153,-6302.51941704189,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:07:41
430,77,0.39497765073974733,0.3390289214422637,-85.20037912433054,706.7202749444448,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:08:02
431,86,0.26707683493896184,0.13722192104523856,-94.56264862018315,788.6986760193707,296.48407246300405,-52.19218319994374,135.00959609597888,35.07113483892883,14,2023-03-17 08:08:11
