,DATE,MJD,EXPTIME,RA,DEC,AIRMASS,ROT_ANGLE,AZ,EL,RA_MD,DEC_MD,EXPTIME_MD,TEMP_SET_MD,CCDTEMP_MD,FILTER_MD,ELSTART_MD,ELEND_MD,AZSTART_MD,AZEND_MD,RA_WCS,DEC_WCS,dRA,dDEC,PNT_OFFSET
2020031400071,2020-03-15 01:55:45.837001,58923.08039163196,5.0,166.964328333333,-16.0290455555556,1.2331929868704532,-215.08208,75.0451871049736,54.184259532296,166.964328333333,-16.0290455555556,5.0,-104.150001525879,-100.822883605957,empty_1,54.184259532296,54.2122237964504,75.0451871049736,75.018069971833,166.96288897210516,-16.028164518588692,0.08636167366945231,-0.05286221801443161,0.098407944864477
2020031400072,2020-03-15 01:55:57.398499,58923.08052544559,5.0,166.964328333333,-16.0290455555556,1.232597365474485,-215.162127,75.0078740012978,54.2226437314384,166.964328333333,-16.0290455555556,5.0,-104.150001525879,-100.801055908203,empty_1,54.2226437314384,54.2505346818798,75.0078740012978,74.9806451094482,166.96290229644472,-16.028055099314543,0.08556221329598969,-0.05942737446350388,0.10146111934366611
2020031400075,2020-03-15 01:56:44.352500,58923.08106889468,5.0,166.964328333333,-16.0290455555556,1.230067042548358,-215.490418,74.8480666470859,54.3865235730045,166.964328333333,-16.0290455555556,5.0,-104.150001525879,-100.792602539062,empty_1,54.3865235730045,54.4143465741508,74.8480666470859,74.8206844222732,166.96285864502366,-16.027926946284683,0.08818129855897613,-0.06711655625493476,0.10810984539877314
2020031400076,2020-03-15 01:57:39.665498,58923.08170909141,2.0,166.964328333333,-16.0290455555556,1.2270297356994408,-215.88,74.652792890105,54.5850061460369,166.964328333333,-16.0290455555556,2.0,-104.150001525879,-100.817863464355,empty_1,54.5850061460369,54.6024378224247,74.652792890105,74.6355570149753,166.96272299959716,-16.027757718298954,0.09632002414900752,-0.07727023539883318,0.12058576567382905
2020031400079,2020-03-15 02:05:05.986501,58923.08687484376,1.0,183.003157083333,-64.5104033333333,1.439580477250109,-158.091833,152.836754251693,43.999079970934,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.821395874023,empty_1,43.999079970934,44.0057582243317,152.836754251693,152.840708274802,182.9993595492753,-64.51080420218169,0.22785204346204166,0.02405213090312263,0.1009615918681733
2020031400080,2020-03-15 02:05:37.696500,58923.08724185763,1.0,183.003157083333,-64.5104033333333,1.4382116996229863,-158.195985,152.867414135893,44.0517603441258,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.811645507812,empty_1,44.0517603441258,44.0582879467838,152.867414135893,152.871504951676,182.99972114535478,-64.5100844234114,0.20615627869292694,-0.019134595313818316,0.09075927644866554
2020031400081,2020-03-15 02:06:13.715000,58923.08765873843,1.0,183.003157083333,-64.5104033333333,1.4366812451318687,-158.314299,152.903427262281,44.1108377858036,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.807739257812,empty_1,44.1108377858036,44.117390422427,152.903427262281,152.907426435908,182.99977158148033,-64.51000888685257,0.2031301111605364,-0.02366678884350379,0.09056416204807807
2020031400082,2020-03-15 02:07:09.399000,58923.08830322917,15.0,183.003157083333,-64.5104033333333,1.4346546585721647,-158.531429,152.951818783244,44.1893518551224,183.003157083333,-64.5104033333333,15.0,-104.150001525879,-100.81721496582,empty_1,44.1893518551224,44.2188284381264,152.951818783244,152.9701391649,182.99978371447676,-64.50986263667382,0.20240213137397586,-0.03244179956906223,0.09294937607544224
2020031400084,2020-03-15 02:09:31.849999,58923.08995196758,10.0,183.003157083333,-64.5104033333333,1.4285989005671254,-158.98608,153.100908030232,44.425924031355,183.003157083333,-64.5104033333333,10.0,-104.150001525879,-100.814895629883,empty_1,44.425924031355,44.4471085651749,153.100908030232,153.114477325653,183.00148202394607,-64.5101202770142,0.10050356321656487,-0.01698337914593699,0.04646655286902043
2020031400090,2020-03-15 02:24:26.690002,58923.100308912064,1.0,183.003157083333,-64.5104033333333,1.3933168028635774,-151.277684,154.142691422661,45.8658893986576,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.846290588379,empty_1,45.8658893986576,45.8721684499615,154.142691422661,154.147632498716,182.99103964476592,-64.52110682556882,0.7270463140254553,0.6422095341313793,0.714345917150597
2020031400091,2020-03-15 02:24:53.223998,58923.100616018506,1.0,183.003157083333,-64.5104033333333,1.3923081586276342,-151.39121,154.154637534579,45.9086871727341,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.814147949219,empty_1,45.9086871727341,45.914976952874,154.154637534579,154.162083346819,183.00125736547366,-64.50937350151703,0.11398307156018218,-0.061789908975884066,0.07889367106279925
2020031400092,2020-03-15 02:25:19.242999,58923.10091716434,1.0,183.003157083333,-64.5104033333333,1.3913433440932546,-151.467219,154.190713245829,45.9497142418259,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.825576782227,empty_1,45.9497142418259,45.9559700473183,154.190713245829,154.195718247851,182.99980508829424,-64.5100417519027,0.2011197023258712,-0.02169488583529628,0.08922945181596272
2020031400093,2020-03-15 02:25:46.641502,58923.10123427665,1.0,183.003157083333,-64.5104033333333,1.3903133902557245,-151.550532,154.225455452164,45.9936076982849,183.003157083333,-64.5104033333333,1.0,-104.150001525879,-100.843223571777,empty_1,45.9936076982849,45.9998581393593,154.225455452164,154.230476994475,182.99986866121012,-64.50984983600213,0.1973053273731121,-0.033209839870286494,0.091174080964228
2020031400111,2020-03-15 02:56:20.851000,58923.12246355324,1.0,145.041405416667,2.96478138888889,1.1927154058069742,88.367698,358.1866209988657,56.9739625438087,145.041405416667,2.96478138888889,1.0,-104.150001525879,-100.791297912598,empty_1,56.9739625438087,56.9734851106041,-1.81337900113431,-1.8439052219328,145.04169871315423,2.9635353113208875,-0.01759778923498916,0.07476465408041233,0.07680239305556907
2020031400113,2020-03-15 03:00:03.447002,58923.12503989585,2.0,145.041405416667,2.96478138888889,1.1931104865163507,86.302146,356.46697812128696,56.9447877093189,145.041405416667,2.96478138888889,2.0,-104.150001525879,-100.807090759277,empty_1,56.9447877093189,56.9437045439117,-3.53302187871304,-3.57111371707288,145.0366115905902,2.9559687573422995,0.2876295646056511,0.5287578927957074,0.6017433114295393
